[2021-03-14] 09:20:51 -  INFO   - _log     - _internal.py - 113 -  * Restarting with windowsapi reloader
[2021-03-14] 09:21:12 -  WARNING - _log     - _internal.py - 113 -  * Debugger is active!
[2021-03-14] 09:21:12 -  INFO   - _log     - _internal.py - 113 -  * Debugger PIN: 701-526-853
[2021-03-14] 09:21:14 -  INFO   - _log     - _internal.py - 113 -  * Running on http://0.0.0.0:5003/ (Press CTRL+C to quit)
[2021-03-14] 09:21:36 -  INFO   - _log     - _internal.py - 113 - 127.0.0.1 - - [14/Mar/2021 09:21:36] "[37mGET /local HTTP/1.1[0m" 200 -
[2021-03-14] 09:21:41 -  INFO   - _log     - _internal.py - 113 - 127.0.0.1 - - [14/Mar/2021 09:21:41] "[37mGET /static/local.js HTTP/1.1[0m" 200 -
[2021-03-14] 09:21:41 -  INFO   - _log     - _internal.py - 113 - 127.0.0.1 - - [14/Mar/2021 09:21:41] "[37mGET /static/objDetect.js HTTP/1.1[0m" 200 -
[2021-03-14] 09:21:44 -  INFO   - _log     - _internal.py - 113 - 127.0.0.1 - - [14/Mar/2021 09:21:44] "[33mGET /favicon.ico HTTP/1.1[0m" 404 -
[2021-03-14] 09:21:56 -  INFO   - _log     - _internal.py - 113 - 127.0.0.1 - - [14/Mar/2021 09:21:56] "[37mGET /local HTTP/1.1[0m" 200 -
[2021-03-14] 09:22:20 -  INFO   - _log     - _internal.py - 113 - 127.0.0.1 - - [14/Mar/2021 09:22:20] "[37mGET / HTTP/1.1[0m" 200 -
[2021-03-14] 09:22:44 -  INFO   - test     - server.py - 46  - Execution Successful for 127.0.0.1
[2021-03-14] 09:22:44 -  INFO   - _log     - _internal.py - 113 - 127.0.0.1 - - [14/Mar/2021 09:22:44] "[37mGET /test HTTP/1.1[0m" 200 -
[2021-03-14] 09:22:50 -  INFO   - _log     - _internal.py - 113 - 127.0.0.1 - - [14/Mar/2021 09:22:50] "[37mGET /local HTTP/1.1[0m" 200 -
[2021-03-14] 09:22:51 -  INFO   - _log     - _internal.py - 113 - 127.0.0.1 - - [14/Mar/2021 09:22:51] "[37mGET /static/local.js HTTP/1.1[0m" 200 -
[2021-03-14] 09:22:51 -  INFO   - _log     - _internal.py - 113 - 127.0.0.1 - - [14/Mar/2021 09:22:51] "[37mGET /static/objDetect.js HTTP/1.1[0m" 200 -
[2021-03-14] 09:23:00 -  INFO   - GetRouter - server.py - 74  - Execution Successful for 127.0.0.1
[2021-03-14] 09:23:00 -  INFO   - _log     - _internal.py - 113 - 127.0.0.1 - - [14/Mar/2021 09:23:00] "[37mPOST /visualbot/router HTTP/1.1[0m" 200 -
[2021-03-14] 09:23:01 -  INFO   - GetRouter - server.py - 74  - Execution Successful for 127.0.0.1
[2021-03-14] 09:23:01 -  INFO   - _log     - _internal.py - 113 - 127.0.0.1 - - [14/Mar/2021 09:23:01] "[37mPOST /visualbot/router HTTP/1.1[0m" 200 -
[2021-03-14] 09:23:02 -  INFO   - GetRouter - server.py - 74  - Execution Successful for 127.0.0.1
